title,overview,release_date,year,top_genre
"Abbott and Costello Meet the Killer, Boris Karloff","Lost Caverns Hotel bellhop Freddie Phillips is suspected of murder. Swami Talpur tries to hypnotize Freddie into confessing, but Freddie is too stupid for the plot to work. Inspector Wellman uses Freddie to get the killer (and it isn't the Swami).",1949-08-22,1949,Horror
The Devil Rides Out,"The powers of good are pitted against the forces of evil as the Duc de Richelieu wrestles with the charming but deadly Satanist, Mocata, for the soul of his friend. Mocata has the knowledge and the power to summon the forces of darkness and, as the Duc de Richelieu and his friends remain within the protected pentacle, they are subjected to ever-increasing horror until thundering hooves herald the arrival of the Angel of Death. Known as ""The Devil's Bride"" in the United States.",1968-07-20,1968,Horror
Fear(s) of the Dark,Several scary black-and-white animated segments in different styles appeal to our fear(s) of the dark.,2008-01-01,2008,Horror
The House That Screamed,"Southern France, 19th century. Teresa, a young girl, arrives at an isolated female boarding school that is tyrannically mastered by Mrs. Fourneau, the strict headmistress, whose protective shadow haunts Luis, her weak son.",1969-12-01,1969,Horror
Pisaasu,A violinist experiences paranormal experience in his flat after a death of a girl who he tries to save due to accident. Later he realises that actually the spirit is helping him and he tries to find out who killed the girl by accident.,2014-12-19,2014,Horror
Them!,Nuclear tests in the desert result in the growth of gigantic mutant ants who menace cities in the American south-west as a team of investigators and the army search for a way to control their spread in this Cold War-era monster film.,1954-06-16,1954,Horror
Orphan,"A married couple with a rocky past adopt 9-year old, Esther to fill the void created by a recently-stillborn baby. However, Esther is not quite who she seems.",2009-07-24,2009,Horror
Midori,"After losing her parents, young flower selling Midori is put up by a fairground group. She is abused and forced to slavery, until the arrival of an enigmatic magician of short stature, who gives her hope for a better future.",1992-05-02,1992,Horror
Moby Dick,"A mysterious explosion occurs at the Balam Bridge in Seoul on November 20th, 1994. In front of hot-blooded local news reporter Lee Bang-Woo, Yoon Hyeok appears. Yoon Hyeok is from the same hometown as Lee Bang-Woo, but they haven't seen each other in a long time. Yoon Hyeok hands over documents to Lee Bang-Woo and hints that the case of the Balam Bridge was fabricated. In order to uncover the truth behind the case, Lee Bang-Woo teams up with fellow reporters Son Jin-gi and Seong Hyo-gwan. While they dig further for the truth, they come within the cross hairs of men intent on covering up the case. Their office is broken into and they are threatened. Meanwhile, Yoon Hyeok holds the key to case ...",2011-06-09,2011,Horror
Todd McFarlane's Spawn 3: The Ultimate Battle,"Spawn is still on his quest to return to his love, Wanda, but is still in trouble. He is guided though by Cogliostro, who is the only one who can give him his humanity back.",1999-08-17,1999,Horror
The Frighteners,"Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.",1996-07-18,1996,Horror
Arcane Sorcerer,"Shunned by his church, a seminary student takes refuge with an excommunicated priest who teaches him wizardry and black magic.",1996-01-01,1996,Horror
